ID,Population,FHBD,FasMetaPop,FasPop,FasPopUnrelated,FPED
GE01,GE,0.0580131746308015,0.0606752679404177,-0.170650448912303,0.0204135311102999,NA
GE02,GE,0.0773314581839021,0.0646274398897025,-0.165891432339115,NA,NA
GE03,GE,0.0814057796218685,0.0839978742881233,-0.14287444281966,NA,NA
GE04,GE,0.0864589160527372,0.0742500090597021,-0.155415708463324,NA,NA
GE05,GE,0.0825555289517282,0.0776121625178777,-0.151862413764538,NA,NA
GE06,GE,0.0945613115499703,0.0893439112787396,-0.131343321531361,0.0490574700736927,NA
GR01,GR,0.0837621418883453,0.0566576075865863,0.0495995842308464,0.054119206351256,NA
GR02,GR,0.0594105353153136,0.027745302175817,0.0204000418430377,NA,NA
GR03,GR,0.0381977546711466,-0.000133875254824188,-0.00772474691505776,-0.00300279649594844,NA
GR04,GR,0.0600473612815659,0.0216267508691229,0.0148143677943424,0.0196193177114484,NA
GR05,GR,0.133799653940055,0.0849013739432909,0.0783008071843117,0.0827552711612901,NA
GR06,GR,0.0637824131005081,0.00027859922044871,-0.00755984087493706,-0.00288943909297044,NA
GR07,GR,0.0575248882509796,0.0198545917736352,0.0140285915786053,0.0191811068541125,NA
GR08,GR,0.100727727635564,0.0646892661670858,0.0575423181959924,NA,NA
GR09,GR,0.0727168701896162,0.0218661353994344,0.0151305926235215,0.0199655743658263,NA
GR10,GR,0.070256599587664,0.0354610628300727,0.0284532919801846,NA,NA
GR11,GR,0.0672822659425081,0.00518679236961476,-0.00252666231724885,0.00215365629970343,NA
IO01,IO,0.0979348712387849,0.0687689726755341,0.010287154052499,0.0299225974690016,NA
IO02,IO,0.0849866634237546,0.0430958922788031,-0.0169424223401697,0.00325335262689105,NA
IO03,IO,0.077527166209273,0.0283810611000876,-0.0328749632936859,-0.0124293699352339,NA
IO04,IO,0.120022863882047,0.0887283580953659,0.0315357950239725,NA,NA
IO05,IO,0.0923378556266464,0.0291240379648092,-0.0312325997703158,-0.010550380712315,NA
IR01,IR,0.117803483582691,0.117405313035971,0.0292437005044712,0.0382957123674146,NA
IR02,IR,0.11037886621996,0.111715388065497,0.0224551638108495,0.0314479288333138,NA
IR03,IR,0.0997038255016114,0.0967466018124807,0.00674478263333224,0.0159511670081119,NA
IR04,IR,0.11189264642457,0.114365616486077,0.0292981392414156,NA,NA
IR05,IR,0.110231392506577,0.0978559245272504,0.0132305362452985,0.022708699121858,NA
IR06,IR,0.122099341485567,0.137770686164468,0.0654062543258933,NA,NA
IR07,IR,0.117853139408088,0.119753074128829,0.0317872985621899,NA,NA
IR08,IR,0.13864400157097,0.148965441790039,0.0652393163634113,0.0740305135466536,NA
IR09,IR,0.118158109774638,0.0977336265848855,0.00558729178375298,0.0145185186260723,NA
IR10,IR,0.138120696561556,0.139934553682301,0.0530400906752229,NA,NA
IR11,IR,0.0739744769863189,0.0697135132025008,-0.00950539850804556,NA,NA
IR12,IR,0.11114410939591,0.113523821752134,0.0315428523237835,0.0407213454521998,NA
IS01,IS,0.0445063379717541,-0.013375143564834,-0.0196140710069048,-0.0103969042724223,NA
IS02,IS,0.0485175564203813,0.0295943144495051,0.0249089545251781,NA,NA
IS03,IS,0.049881921110219,-0.010812699080387,-0.0170154451823338,-0.00782136792128934,NA
IS04,IS,0.0435113352958756,0.0122497441832441,0.00687833405656633,NA,NA
IS05,IS,0.0570248242712529,0.0181820765247342,0.0124154529759607,NA,NA
IS06,IS,0.0465971187898928,-0.0122088439354507,-0.0182426998082888,-0.00898914152179592,NA
IS07,IS,0.0402672156583053,-0.0053078714551586,-0.0115683581317907,-0.00243796163764134,NA
IS08,IS,0.0434536761929862,-0.0136977191633811,-0.0195107886862968,-0.0102146984189458,NA
IS09,IS,0.0428298019434697,-0.0053064840381588,-0.0111261376589064,-0.00191148929913908,NA
IS10,IS,0.0946326463411893,0.0493739124996484,0.043427446167587,0.0520705917688248,NA
IT01,IT,0.0465547301770708,0.0176476195175928,-0.0135989466762246,-0.00914900994117213,NA
IT02,IT,0.0615381087649438,0.0425836896682618,0.0123266258232441,0.0166953598598116,NA
IT03,IT,0.0540107435395289,0.0330194951574251,0.00232029639844398,0.00671757500811996,NA
IT04,IT,0.0626800171145512,0.0433524330040746,0.0128985947906555,0.0172313768106333,NA
IT05,IT,0.0493647202112549,0.0262785000075255,-0.00415791614452177,0.000344209519463973,NA
IT06,IT,0.0576504138072158,0.0373869404724036,0.00685888863540318,NA,NA
IT07,IT,0.0543142128533716,0.0289802862913185,-0.00135118411081123,0.00316092629301152,NA
IT08,IT,0.0688350752045937,0.0352129421771642,0.00443983189223442,0.00879275523283882,NA
IT09,IT,0.0682226428434637,0.0495066965564289,0.0193312536292445,0.0237620492916643,NA
IT10,IT,0.053490706179463,0.028524742169938,-0.00219576788243748,NA,NA
M001542,CH,0.0609153158042158,0.0983397632627665,0.133427623179456,NA,0
M001670,CH,0.0423888645733288,0.0258419851143474,0.0637388598875941,NA,0
M003801,CH,0.0577820966041723,0.0971297272321303,0.132403896614918,0.0869629253066957,0
M004207,CH,0.0337129737409514,0.0937184829509615,0.129357182619759,0.0839076186996783,0
M004500,CH,0.0286794196626487,0.0527816682608093,0.0897721122421777,0.042133384943616,0
M005002,CH,0.0530171528588822,0.0303250534010537,0.0681988162111581,NA,0
M005013,CH,0.0466863874353079,0.18565239249242,0.216045274504028,NA,0
M005025,CH,0.0493615302813037,0.113574151054762,0.147593318996781,NA,0
M005026,CH,0.0525317476715241,0.139155021800144,0.171701786413299,NA,0
M005030,CH,0.0485730329944556,0.0457793483301733,0.0828153724363576,0.0348744731965288,0
M005170,CH,0.0812170420574989,0.0949361595665158,0.129943135697099,NA,0
M005188,CH,0.0539785969553779,0.140070835607198,0.173004051112567,NA,0
M005219,CH,0.0509301956138922,0.101377468824302,0.136320206923524,NA,0
M005220,CH,0.0444738645050657,0.0697771801686903,0.106021526481145,NA,0
M005221,CH,0.0934786419689571,0.143618620792594,0.176942828279796,NA,0
M005222,CH,0.0584207055573218,0.0843670188592706,0.119879772918594,NA,0
M005238,CH,0.00722278483036178,0.0480984275208752,0.0852533743540693,0.037422194175864,0
M005415,CH,0.0370203975384019,0.0562048376465097,0.0930201151839746,0.0455213924798092,0
M005447,CH,0.0546379591106597,0.0711511046980509,0.10704301303107,NA,0
M005448,CH,0.055300989234723,0.0667568096692302,0.102985666939694,NA,0
M005452,CH,0.0382197737148817,0.0577032702401022,0.0943947116785843,NA,0
M005469,CH,0.038477583617957,0.0858818477464616,0.121495978418098,0.0755044701092566,0
M005472,CH,0.0323672013521055,0.0767254905280119,0.112209801177277,NA,0
M005473,CH,0.0553592106186184,0.138123285222451,0.171505665797303,NA,0
M005673,CH,0.00598782464793943,-0.015470384564444,0.0241083572337256,-0.0270532085919055,0
M006413,CH,0.0544886074622465,0.107643207910907,0.142520242986635,NA,0
M010956,CH,0.0464208248781375,0.0527983815206537,0.0898036921355674,0.0422904108049788,0
M010969,CH,0.0383916558356314,0.0863145720295684,0.122075441637659,NA,0
M011005,CH,0.0450200909418962,0.0523364517702338,0.0891629527776679,NA,0
M011008,CH,0.0520468674440702,0.109226294769985,0.143724281821405,NA,0
M011012,CH,0.0515680724685608,0.0776516731595684,0.113444006433567,NA,0
M011019,CH,0.0362819514991977,0.0359763359685422,0.0735120898996797,NA,0
M011021,CH,0.042236228239837,0.118917613710802,0.152711361067418,NA,0
M011023,CH,0.0436666279131937,0.0708533204355352,0.106827736749127,NA,0
M011024,CH,0.0482339400218852,0.0772920944095808,0.113106094807049,NA,0
M011060,CH,0.0467146336696908,0.0558417346134033,0.0924934733807533,NA,0
M011142,CH,0.0527469592887884,0.0680543883001481,0.104320606068119,NA,0
M011145,CH,0.0403635203792001,0.0513214503308579,0.0881927146615819,NA,0
M011146,CH,0.0549893932940984,0.0750197209881578,0.110980174312599,NA,0
M011147,CH,0.0530213936920255,0.0638117120479275,0.100171824200555,NA,0
M011184,CH,0.0504024574789419,0.0342130812791698,0.0719462317880967,0.0233575124969183,0
M011188,CH,0.00495199655263596,0.0307096843450699,0.0683389305357933,NA,0
M011332,CH,0.0456032574146271,-0.00169451565079477,0.0374489922361641,-0.013009901256305,0
M011644,CH,0.0479407959534348,-0.00529582848247154,0.0339709244847954,NA,0
M011681,CH,0.0569749861196599,0.0889125713700387,0.124332767274287,NA,0
M011704,CH,0.0466210836919653,0.0781364984404588,0.11393832252607,NA,0
M011705,CH,0.0404520755563218,0.0534729076567435,0.0903085790111525,NA,0
M011736,CH,0.0486281323318799,0.0623520488096202,0.0988820865963126,NA,0
M011740,CH,0.0552120046119284,0.0660263350810577,0.102427314765234,NA,0
M011741,CH,0.0324154912885023,0.0621975899351805,0.098749433202768,NA,0
M011743,CH,0.040693041805916,0.0128071745210089,0.0513532669419291,0.00163830843929011,0
M011769,CH,0.0434487501782831,0.0249001212928439,0.0628625738171305,NA,0
M011816,CH,0.0445649039510856,0.0586494296693599,0.0954858022856924,0.0481506810173404,0
M011827,CH,0.0518717318793075,0.0725629917968901,0.108837644956725,0.0621751182269958,0
M011830,CH,0.0386924583493517,0.0163717455586424,0.0547685761964415,NA,0
M011852,CH,0.0436768698396744,0.0363793753972246,0.0739947245299167,0.0256184244645134,0
M011867,CH,0.0543813445992927,0.0238698264128545,0.0620057403876739,0.0128148704788415,0
M011971,CH,0.0525162118103312,0.0072168791829752,0.0459897599213669,NA,0
M011995,CH,0.141472995803404,0.131589454667846,0.165498423424637,NA,0
M011997,CH,0.0424935201530341,0.0769150726552723,0.112830554199132,NA,0
M011998,CH,0.0358355008491904,0.0333579659091895,0.0710160332614344,NA,0
M012772,CH,0.0351308981437332,0.066632179109331,0.103111677087693,0.0561736080475295,0
M014481,CH,0.00161365907208847,-0.0182350245410477,0.0213848257006622,-0.0299501867860268,0
