ID,Population,Sex,Included.in.UnrelatedSet,sample.longitude,sample.latitude
M031563,CH,1,0,6.91753187155268,46.8637469660947
M031581,CH,1,0,6.91753187155268,46.8637469660947
M031598,CH,1,0,6.99154245576741,46.9044855949206
M031610,CH,2,0,6.57834123259671,46.7630321445809
M031650,CH,2,0,6.90898786818808,46.8537047006285
M031653,CH,1,0,6.57358953399884,46.7336332935678
M031654,CH,2,0,6.85359248545655,46.7059867597145
M031661,CH,1,0,6.85359248545655,46.7059867597145
M031673,CH,1,0,6.5607633577128,46.5272185902132
M031674,CH,2,0,6.6523047739788,46.6230215186127
M031675,CH,1,0,6.6523047739788,46.6230215186127
M031676,CH,2,0,6.6523047739788,46.6230215186127
M031677,CH,1,0,6.6523047739788,46.6230215186127
M031706,CH,2,0,6.6523047739788,46.6230215186127
M031707,CH,1,0,6.95367583149537,46.8740527680069
M031708,CH,2,0,6.95367583149537,46.8740527680069
M031709,CH,1,0,6.95367583149537,46.8740527680069
M031715,CH,2,0,6.51201496234096,46.585163247085
M031721,CH,2,0,6.51201496234096,46.585163247085
M031722,CH,1,0,6.51201496234096,46.585163247085
M031723,CH,1,0,6.51201496234096,46.585163247085
M031724,CH,2,0,6.57643428055014,46.6276722533694
M031760,CH,2,1,6.90837346201792,46.8708203544548
M031768,CH,2,0,6.43110299446778,46.5893698053356
M031770,CH,1,0,6.56250609357327,46.5234266549507
M031771,CH,1,0,6.59435169810551,46.703661128583
M031772,CH,1,0,7.01361833211544,46.8629837775822
M031773,CH,2,0,6.54540376098002,46.7282794560089
M031800,CH,1,1,6.81034597776921,46.7926287016098
M031882,CH,1,0,7.03273487369728,46.8810080726158
M031888,CH,2,0,6.87059406995173,46.8561921996257
M031889,CH,1,0,6.87059406995173,46.8561921996257
M031890,CH,1,0,6.87059406995173,46.8561921996257
M031891,CH,2,0,6.88922883155325,46.8381211496562
M031892,CH,2,0,6.9084311558208,46.8443454910351
M031894,CH,2,0,7.03291285104386,46.8904628863395
M031895,CH,1,0,6.89650557874618,46.8770526244646
M031901,CH,2,0,6.88469,46.87809
M031969,CH,2,0,6.88469,46.87809
M032002,CH,1,0,6.5524877754769,46.6737285106857
M032003,CH,1,0,7.13043372053794,46.9770498149603
M032015,CH,2,0,7.13043372053794,46.9770498149603
M032022,CH,1,0,6.84816427016967,46.7156742017986
M032023,CH,2,0,6.90898786818808,46.8537047006285
M032024,CH,2,0,6.92625743443526,46.8702091656185
M032025,CH,1,0,6.84778562308615,46.8295912219986
M032051,CH,1,0,6.86444763120679,46.8484702959729
M032108,CH,1,0,6.88085980716096,46.7412065839802
M032119,CH,2,0,6.88085980716096,46.7412065839802
M032120,CH,1,0,6.99183146675281,46.8080731661794
M032121,CH,2,0,6.54966670851362,46.621996867297
M032122,CH,2,0,6.54966670851362,46.621996867297
M032123,CH,2,0,6.54966670851362,46.621996867297
M032124,CH,2,1,6.5524877754769,46.6737285106857
M032144,CH,1,0,6.56280029800517,46.6067872103487
M032203,CH,1,0,6.88085980716096,46.7412065839802
M032219,CH,2,1,6.93471646292735,46.8262842225228
M032220,CH,1,1,6.98977423512563,46.8546439682151
M032230,CH,2,1,6.7200304252841,46.7812385205119
M032251,CH,1,1,7.059488322243,46.9465946958395
M032254,CH,1,0,6.94083747654784,46.7914005521181
M032314,CH,2,1,6.99963554510414,46.9420816266729
M032322,CH,1,1,7.059488322243,46.9465946958395
M032330,CH,1,0,6.96090251180602,46.8579182661176
M032347,CH,2,1,6.94505648637344,46.795511845684
M032352,CH,2,0,6.57358953399884,46.7336332935678
M032400,CH,1,0,6.94065825500337,46.8788454384307
M032409,CH,1,0,6.90837346201792,46.8708203544548
M032460,CH,1,0,6.78180626726075,46.8119259586972
M032441,CH,1,0,7.03273487369728,46.8810080726158
M032444,CH,1,0,6.91753187155268,46.8637469660947
M032445,CH,1,0,6.81952324811699,46.8363347607575
M032446,CH,2,0,6.91753187155268,46.8637469660947
M032447,CH,1,0,7.03291285104386,46.8904628863395
M032424,CH,2,0,7.03291285104386,46.8904628863395
M032478,CH,2,1,6.90837346201792,46.8708203544548
M032487,CH,1,0,6.86444763120679,46.8484702959729
M033603,CH,1,0,6.5524877754769,46.6737285106857
M033660,CH,2,0,6.52596765936229,46.6266763691812
M034517,CH,1,1,7.03291285104386,46.8904628863395
M035431,CH,2,1,7.03291285104386,46.8904628863395
M037524,CH,1,0,6.9572744865986,46.8339569917039
M037525,CH,2,0,6.9572744865986,46.8339569917039
M037594,CH,2,1,6.97398981806481,46.8199391247446
M037624,CH,2,0,6.9572744865986,46.8339569917039
M037625,CH,2,0,6.9572744865986,46.8339569917039
M037626,CH,1,0,6.7200304252841,46.7812385205119
M037627,CH,2,0,7.02313225046951,46.91491328347
